accuracy,loss,val_accuracy,val_loss
0.6129500269889832,0.6585639119148254,0.501800000667572,0.9001388549804688
0.6922500133514404,0.5873055458068848,0.6620000004768372,0.6106865406036377
0.7565000057220459,0.5131388902664185,0.5978000164031982,0.7151495814323425
0.8069999814033508,0.4361974000930786,0.7328000068664551,0.5525453090667725
0.8616499900817871,0.3358876407146454,0.6949999928474426,0.5609590411186218
0.8898000121116638,0.2726207673549652,0.6359999775886536,0.807807207107544
0.9143499732017517,0.21351855993270874,0.6976000070571899,0.9430302977561951
0.9332500100135803,0.17173098027706146,0.896399974822998,0.23917993903160095
0.9392499923706055,0.15440456569194794,0.900600016117096,0.2503437399864197
0.949400007724762,0.1263132095336914,0.8628000020980835,0.3116981089115143
0.956250011920929,0.11172691732645035,0.9082000255584717,0.22773359715938568
0.9642000198364258,0.09388420730829239,0.9174000024795532,0.21058620512485504
0.9691500067710876,0.08134008198976517,0.9111999869346619,0.2255021184682846
0.9689000248908997,0.07757599651813507,0.8912000060081482,0.29042837023735046
0.9749500155448914,0.06677833944559097,0.9025999903678894,0.2956354022026062
0.9787499904632568,0.05944984778761864,0.9315999746322632,0.21646401286125183
0.979200005531311,0.05501801148056984,0.9291999936103821,0.19433161616325378
0.9843500256538391,0.04292949661612511,0.9197999835014343,0.23521989583969116
0.9853500127792358,0.03999321162700653,0.9240000247955322,0.22745275497436523
0.9861000180244446,0.03878000006079674,0.9409999847412109,0.2336818426847458
